Category, Gender, Weapon, Competition, Place, Date, Type, Event
Coupe du Monde par équipes,Aix-en-Provence,28.01.18,J,F,M,T,A
Coupe du Monde par équipes,Baltimore,28.01.18,S,S,F,T,A
Coupe du Monde par équipes,Zagreb,28.01.18,J,F,F,T,A
Heidenheimer Pokal,Heidenheim,27.01.18,S,E,M,T,A
Coupe du Monde,Aix-en-Provence,27.01.18,J,F,M,I,A
Coupe du Monde,Zagreb,27.01.18,J,F,F,I,A
Coupe du Monde,Baltimore,26.01.18,S,S,F,I,A
Heidenheimer Pokal,Heidenheim,25.01.18,S,E,M,I,A
Coupe du Monde par équipes,La Havane,21.01.18,S,E,F,T,A
Challenge International de Paris,Paris,21.01.18,S,F,M,T,A
2018 Buchmann GMBH Phoenix  Junior WC par équipes,Phoenix,21.01.18,J,S,M,T,A
Coupe du Monde par équipes,Segovia,21.01.18,J,S,F,T,A
Coupe du Monde,Segovia,20.01.18,J,S,F,I,A
2018 Buchmann GMBH Phoenix Junior Men's Sabre WC,Phoenix,20.01.18,J,S,M,I,A
Coupe du Monde ,La Havane,19.01.18,S,E,F,I,A
Challenge International de Paris,Paris,19.01.18,S,F,M,I,A
Coupe du Monde par équipes,Katowice,14.01.18,S,F,F,T,A
Rehbinder Prize,Stockholm,14.01.18,S,E,F,I,SA
SAF-Pokalen,Stockholm,13.01.18,S,E,M,I,SA
The Artus Court PKO BP,Katowice,12.01.18,S,F,F,I,A
Coupe du Monde,Udine,07.01.18,J,E,F,I,A
Coupe du Monde,Udine,07.01.18,J,F,M,I,A
Coupe du Monde,Budapest,06.01.18,J,S,M,I,A
Alpe Adria,Udine,06.01.18,J,E,M,I,A
Coupe du Monde,Budapest,06.01.18,J,S,F,I,A
Coupe du Monde,Udine,06.01.18,J,F,F,I,A
Coupe du Monde,La Havane,17.12.17,J,F,M,I,A
Coupe du Monde par équipes,Burgos,17.12.17,J,E,F,T,A
Coupe du Monde par équipes,Heraklion,17.12.17,J,E,M,T,A
Ciudad de Burgos,Burgos,16.12.17,J,E,F,I,A
Coupe du Monde,Heraklion,16.12.17,J,E,M,I,A
Ciudad de Burgos,Burgos,16.12.17,J,E,F,I,A
Sabre Grand Prix,Cancun,15.12.17,S,S,F,I,GP
Sabre Grand Prix,Cancun,15.12.17,S,S,M,I,GP
Preis der Chemiestadt,Dormagen,09.12.17,J,S,M,I,A
Tournoi satellite,Antalya,09.12.17,S,F,F,I,SA
Preis der Chemiestadt,Dormagen,09.12.17,J,S,F,I,A
Grand Prix du Qatar,Doha,08.12.17,S,E,M,I,GP
Grand Prix du Qatar,Doha,08.12.17,S,E,F,I,GP
Coupe du Monde,Luxembourg,03.12.17,J,E,F,I,A
Coupe du Monde par équipes,Györ,03.12.17,S,S,M,T,A
Coupe du Monde,Luxembourg,02.12.17,J,E,M,I,A
Grand Prix,Turin,01.12.17,S,F,F,I,GP
Coupe du Monde,Györ,01.12.17,S,S,M,I,A
Grand Prix,Turin,01.12.17,S,F,M,I,GP
Coupe du Monde par équipes,Legnano,19.11.17,S,E,M,T,A
Coupe du Monde par équipes,Sint-Niklaas ,19.11.17,S,S,F,T,A
Memorial de Martinengo Tournoi,Bratislava,18.11.17,S,F,M,I,SA
Memorial de Martinengo Tournoi,Bratislava,18.11.17,S,F,F,I,SA
Coupe du Monde,Guatemala City,18.11.17,J,F,F,I,A
Coupe du Monde,Guatemala City,18.11.17,J,F,M,I,A
Coupe du Monde,Legnano,17.11.17,S,E,M,I,A
Coupe du Monde,Sint-Niklaas ,17.11.17,S,S,F,I,A
Coupe du Monde par équipes,Suzhou,12.11.17,S,E,F,T,A
Coupe du Monde par équipes,Tokyo,12.11.17,S,F,M,T,A
Tournoi satellite ,Dublin,11.11.17,S,E,M,I,SA
Tournoi satellite ,Dublin,11.11.17,S,E,M,I,SA
Coupe du Monde,Sochi,11.11.17,J,S,M,I,A
Coupe du Monde par équipes,Sochi,11.11.17,J,S,M,T,A
Coupe du Monde,Suzhou,10.11.17,S,E,F,I,A
Prince Takamodo WC,Tokyo,10.11.17,S,F,M,I,A
Coupe du Monde par équipes,Alger,05.11.17,S,S,M,T,A
Coupe du Monde par équipes,St-Maur,05.11.17,S,F,F,T,A
Coupe du Monde,San Salvador,05.11.17,J,E,M,I,A
Tournoi Satellite,Oslo,04.11.17,S,E,M,I,SA
Coupe du Monde,San Salvador,04.11.17,J,E,F,I,A
Coupe du Monde,St-Maur,03.11.17,S,F,F,I,A
Coupe du Monde ,Alger,03.11.17,S,S,M,I,A
Coupe du Monde par équipes,Bochum,29.10.17,J,F,F,T,A
Coupe du Monde par équipes,Berne,29.10.17,S,E,M,T,A
Coupe du monde par équipes,Orléans,29.10.17,S,S,F,T,A
Camden London Tournoi satellite sabre masculin,Londres,29.10.17,S,S,M,I,SA
Coupe du Monde par équipes,Leszno,29.10.17,J,F,M,T,A
Tournoi international,Bochum,28.10.17,J,F,F,I,A
Coupe du Monde,Leszno,28.10.17,J,F,M,I,A
Coupe du Monde,Berne,27.10.17,S,E,M,I,A
Trophée BNP Paribas,Orléans,27.10.17,S,S,F,I,A
Coupe du Monde,Sosnowiec,22.10.17,J,S,M,I,A
Coupe du Monde par équipes,Tallin,22.10.17,S,E,F,T,A
Coupe du monde par equipes,Sosnowiec,22.10.17,J,S,F,T,A
Coupe du Monde par équipes,Le Caire,22.10.17,S,F,M,T,A
Coupe du Monde,Sosnowiec,21.10.17,J,S,F,I,A
Coupe du Monde,Tallin,20.10.17,S,E,F,I,A
Coupe du Monde,Le Caire,20.10.17,S,F,M,I,A
Tournoi satellite,Gand,15.10.17,S,S,F,I,SA
Coupe du Monde par équipes,Riga,15.10.17,J,E,M,T,A
Coupe du Monde par équipes,Cancun,15.10.17,S,F,F,T,A
Tournoi satellite,Gand,15.10.17,S,S,M,I,SA
Coupe du Monde par équipes,Laupheim,15.10.17,J,E,F,T,A
Uhlmann-Cup,Laupheim,14.10.17,J,E,F,I,A
Coupe du Monde,Riga,14.10.17,J,E,M,I,A
Coupe du Monde,Cancun,13.10.17,S,F,F,I,A
Coupe du Monde par équipes,Timisoara,08.10.17,J,F,F,T,A
Coupe du Monde,Plovdiv,08.10.17,J,S,F,I,A
Tournoi Satellite,Genève,08.10.17,S,E,F,I,SA
Coupe du Monde par équipes,Bangkok,08.10.17,J,F,M,T,A
Coupe du Monde,Bangkok,07.10.17,J,F,M,I,A
Tournoi Satellite,Genève,07.10.17,S,E,M,I,SA
Coupe du Monde,Plovdiv,07.10.17,J,S,M,I,A
Coupe du Monde,Timisoara,07.10.17,J,F,F,I,A
Coupe du Monde,Manama,30.09.17,J,E,M,I,A
Coupe du Monde,Manama,30.09.17,J,E,F,I,A
Tournoi satellite sabre masculin,Amsterdam,24.09.17,S,S,M,I,SA
Tournoi Satellite,Belgrade,23.09.17,S,E,M,I,SA
Tournoi Satellite,Belgrade,23.09.17,S,E,F,I,SA
Tournoi satellite,Amsterdam,23.09.17,S,F,M,I,SA
Tournoi Satellite,Londres,17.09.17,S,F,M,I,SA
Coupe du Monde par équipes,Teheran,17.09.17,J,S,M,T,A
Coupe du Monde,San-Jose,16.09.17,J,S,F,I,A
Coupe du Monde,Londres,16.09.17,J,F,M,I,A
Coupe du Monde,Teheran,16.09.17,J,S,M,I,A
Coupe du Monde,Londres,16.09.17,J,F,F,I,A
Championnats du monde Vétérans 60-69,Maribor,20.10.17,V,S,F,I,CHM
Championnats du monde vétérans 50-59,Maribor,20.10.17,V,E,M,I,CHM
Championnats du monde Vétérans 70+,Maribor,20.10.17,V,S,F,I,CHM
Championnats du monde vétérans 50-59,Maribor,20.10.17,V,S,F,I,CHM
Championnats du monde Vétérans 60-69,Maribor,19.10.17,V,E,M,I,CHM
Championnats du monde Vétérans 70+,Maribor,19.10.17,V,E,M,I,CHM
Championnats du monde Vétérans 60-69,Maribor,18.10.17,V,F,F,I,CHM
Championnats du monde vétérans 50-59,Maribor,18.10.17,V,S,M,I,CHM
Championnats du monde Vétérans 70+,Maribor,18.10.17,V,F,F,I,CHM
Championnats du monde vétérans 50-59,Maribor,18.10.17,V,F,F,I,CHM
Championnats du monde vétérans 50-59,Maribor,17.10.17,V,F,M,I,CHM
Championnats du monde Vétérans 60-69,Maribor,17.10.17,V,S,M,I,CHM
Championnats du monde Vétérans 70+,Maribor,17.10.17,V,S,M,I,CHM
Championnats du monde Vétérans 60-69,Maribor,16.10.17,V,E,F,I,CHM
Championnats du monde Vétérans 60-69,Maribor,16.10.17,V,F,M,I,CHM
Championnats du monde Vétérans 70+,Maribor,16.10.17,V,E,F,I,CHM
Championnats du monde vétérans 50-59,Maribor,16.10.17,V,E,F,I,CHM
Championnats du monde Vétérans 70+,Maribor,16.10.17,V,F,M,I,CHM
2017 Summer Universiades,Taipei,20.08.17,S,S,M,T,NF
2017 Summer Universiade,Taipei,20.08.17,S,E,F,I,NF
2017 Summer Universiades,Taipei,20.08.17,S,S,M,T,NF
2017 Summer Universiades,Taipei,20.08.17,S,E,F,T,NF
2017 Summer Universiade,Taipei,20.08.17,S,S,M,I,NF
2017 Summer Universiades,Taipei,20.08.17,S,S,F,I,NF
2017 Summer Universiades,Taipei,20.08.17,S,F,M,I,NF
2017 Summer Universiades,Taipei,20.08.17,S,F,F,I,NF
Championnats du Monde,Leipzig,26.07.17,S,E,F,T,CHM
Championnats du Monde,Leipzig,26.07.17,S,F,M,T,CHM
Championnats du monde,Leipzig,25.07.17,S,S,F,T,CHM
Championnats du Monde,Leipzig,25.07.17,S,E,M,T,CHM
Championnats du Monde,Leipzig,24.07.17,S,S,M,T,CHM
Championnats du Monde,Leipzig,24.07.17,S,F,F,T,CHM
Championnats du Monde,Leipzig,20.07.17,S,E,F,I,CHM
Championnats du Monde,Leipzig,20.07.17,S,F,M,I,CHM
Championnats du Monde,Leipzig,20.07.17,S,S,F,I,CHM
Championnats du Monde,Leipzig,19.07.17,S,E,M,I,CHM
Championnats du Monde,Leipzig,19.07.17,S,S,M,I,CHM
Championnats du Monde,Leipzig,19.07.17,S,F,F,I,CHM
Championnats asiatiques,Hong Kong,20.06.17,S,S,M,T,CHZ
Championnats asiatiques,Hong Kong,20.06.17,S,E,F,T,CHZ
Championnats asiatiques,Hong Kong,19.06.17,S,F,F,T,CHZ
Championnats asiatiques,Hong Kong,19.06.17,S,E,M,T,CHZ
Championnats asiatiques,Hong Kong,18.06.17,S,S,F,T,CHZ
Championnats asiatiques,Hong Kong,18.06.17,S,F,M,T,CHZ
Championnats asiatiques,Hong Kong,18.06.17,S,F,M,T,CHZ
Championnats Panaméricains,Montreal,18.06.17,S,F,F,T,CHZ
Championnats Panaméricains,Montreal,17.06.17,S,S,F,T,CHZ
Championnats d'Europe,Tbilisi,17.06.17,S,S,M,T,CHZ
Championnats asiatiques,Hong Kong,17.06.17,S,E,F,I,CHZ
Championnats d'Europe,Tbilisi,17.06.17,S,E,F,T,CHZ
Championnats Panaméricains,Montreal,17.06.17,S,E,M,T,CHZ
Championnats asiatiques,Hong Kong,17.06.17,S,S,M,I,CHZ
Championnats d'Europe,Tbilisi,16.06.17,S,F,F,T,CHZ
Championnats d'Europe,Tbilisi,16.06.17,S,E,M,T,CHZ
Championnats Panaméricains,Montreal,16.06.17,S,E,F,T,CHZ
Championnats asiatiques,Hong Kong,16.06.17,S,E,M,I,CHZ
Championnats asiatiques,Hong Kong,16.06.17,S,F,F,I,CHZ
Championnats Panaméricains,Montreal,16.06.17,S,F,M,T,CHZ
Championnats Panaméricains,Montreal,15.06.17,S,F,F,I,CHZ
Championnats asiatiques,Hong Kong,15.06.17,S,F,M,I,CHZ
Championnats Panaméricains,Montreal,15.06.17,S,S,M,I,CHZ
Championnats d'Europe,Tbilisi,15.06.17,S,S,M,I,CHZ
Championnats d'Europe,Tbilisi,15.06.17,S,E,F,I,CHZ
Championnats asiatiques,Hong Kong,15.06.17,S,S,F,I,CHZ
Championnats Panaméricains,Montreal,14.06.17,S,S,F,I,CHZ
Championnats d'Europe,Tbilisi,14.06.17,S,S,F,T,CHZ
Championnats d'Europe,Tbilisi,14.06.17,S,F,M,T,CHZ
Championnats Panaméricains,Montreal,14.06.17,S,E,M,I,CHZ
Championnats d'Europe,Tbilisi,13.06.17,S,F,F,I,CHZ
Championnats d'Europe,Tbilisi,13.06.17,S,E,M,I,CHZ
Championnats Panaméricains,Montreal,13.06.17,S,E,F,I,CHZ
Championnats Panaméricains,Montreal,13.06.17,S,F,M,I,CHZ
Championnats d'Europe,Tbilisi,12.06.17,S,S,F,I,CHZ
Championnats d'Afrique,Le Caire,12.06.17,S,E,F,T,CHZ
Championnats d'Afrique,Le Caire,12.06.17,S,F,M,T,CHZ
Championnats d'Afrique,Le Caire,12.06.17,S,S,F,T,CHZ
Championnats d'Europe,Tbilisi,12.06.17,S,F,M,I,CHZ
Championnats d'Afrique,Le Caire,11.06.17,S,E,M,T,CHZ
Championnats d'Afrique,Le Caire,11.06.17,S,F,F,T,CHZ
Championnats d'Afrique,Le Caire,11.06.17,S,S,M,T,CHZ
Championnats d'Afrique,Le Caire,10.06.17,S,S,M,I,CHZ
Championnats d'Afrique,Le Caire,10.06.17,S,F,F,I,CHZ
Championnats d'Afrique,Le Caire,09.06.17,S,S,F,I,CHZ
Championnats d'Afrique,Le Caire,09.06.17,S,E,M,I,CHZ
Championnats d'Afrique,Le Caire,08.06.17,S,F,M,I,CHZ
Championnats d'Afrique,Le Caire,08.06.17,S,E,F,I,CHZ
Grand Prix,Moscow,02.06.17,S,S,M,I,GP
Grand Prix,Moscow,02.06.17,S,S,F,I,GP
Trekanten International,Copenhague,28.05.17,S,F,F,I,SA
Tournoi satellite sabre masculin,Reykjavik,28.05.17,S,S,M,I,SA
Tournoi satellite,Reykjavik,27.05.17,S,S,F,I,SA
Trekanten International,Copenhague,27.05.17,S,F,M,I,SA
 Epee Grand Prix ,Bogota,26.05.17,S,E,M,I,GP
Epee Grand Prix,Bogota,26.05.17,S,E,F,I,GP
Coupe du Monde par équipes,Madrid,21.05.17,S,S,M,T,A
St Duje Cup,Split,20.05.17,S,E,M,I,SA
St. Duje Cup,Split,20.05.17,S,E,F,I,SA
Villa de Madrid,Madrid,19.05.17,S,S,M,I,A
Grand Prix,Shanghai,19.05.17,S,F,M,I,GP
Grand Prix,Shanghai,19.05.17,S,F,F,I,GP
Challenge SNCF Réseau,Paris,14.05.17,S,E,M,T,A
Tournoi satellite,San-Jose,14.05.17,S,E,M,I,SA
Coupe du Monde par équipes,Tunis,14.05.17,S,S,F,T,A
Tournoi Satellite,Sofia,13.05.17,S,E,F,I,SA
Challenge SNCF Réseau,Paris,12.05.17,S,E,M,I,A
Coupe du Monde,Tunis,12.05.17,S,S,F,I,A
Coupe du monde par équipes,Rio de Janeiro,07.05.17,S,E,F,T,A
Coupe du Monde par équipe,St-Petersbourg,07.05.17,S,F,M,T,A
Fleuret de St-Petersbourg,St-Petersbourg,05.05.17,S,F,M,I,A
Coupe du Monde,Rio de Janeiro,05.05.17,S,E,F,I,A
Coupe du Monde par équipes,Tauberbischofsheim,30.04.17,S,F,F,T,A
Cole Cup,Sheffield,29.04.17,S,E,F,I,SA
Reinhold-Würth-Cup,Tauberbischofsheim,28.04.17,S,F,F,I,A
Championnats du monde juniors-cadets,Plovdiv,09.04.17,J,E,M,T,CHM
Championnats du monde juniors-cadets,Plovdiv,09.04.17,J,F,F,T,CHM
Championnats du monde juniors-cadets,Plovdiv,08.04.17,J,S,F,T,CHM
Championnats du monde juniors-cadets,Plovdiv,08.04.17,J,F,M,T,CHM
Championnats du monde juniors-cadets,Plovdiv,07.04.17,J,F,F,I,CHM
Championnats du monde juniors-cadets,Plovdiv,07.04.17,J,E,M,I,CHM
Championnats du monde juniors-cadets,Plovdiv,07.04.17,J,F,F,I,CHM
Championnats du monde juniors-cadets,Plovdiv,07.04.17,J,E,M,I,CHM
Championnats du monde juniors-cadets,Plovdiv,06.04.17,J,F,M,I,CHM
Championnats du monde juniors-cadets,Plovdiv,06.04.17,J,S,F,I,CHM
Championnats du monde juniors-cadets,Plovdiv,05.04.17,J,S,M,I,CHM
Championnats du monde juniors-cadets,Plovdiv,05.04.17,J,E,F,I,CHM
Championnats du monde juniors-cadets,Plovdiv,04.04.17,C,F,F,T,CHM
Championnats du monde juniors-cadets,Plovdiv,04.04.17,C,E,M,T,CHM
Championnats du monde juniors-cadets,Plovdiv,04.04.17,C,E,F,T,CHM
Championnats du monde juniors-cadets,Plovdiv,04.04.17,C,S,M,T,CHM
Championnats du monde juniors-cadets,Plovdiv,04.04.17,C,S,F,T,CHM
Championnats du monde juniors-cadets,Plovdiv,04.04.17,C,F,M,T,CHM
Championnats du monde juniors-cadets,Plovdiv,03.04.17,C,E,M,I,CHM
Championnats du monde juniors-cadets,Plovdiv,03.04.17,C,F,F,I,CHM
Championnats du monde juniors-cadets,Plovdiv,02.04.17,C,S,F,I,CHM
Championnats du monde juniors-cadets,Plovdiv,02.04.17,C,F,M,I,CHM
Championnats du monde juniors-cadets,Plovdiv,01.04.17,C,E,F,I,CHM
Championnats du monde juniors-cadets,Plovdiv,01.04.17,C,S,M,I,CHM
Grand Prix,Seoul,31.03.17,S,S,F,I,GP
Grand Prix,Seoul,31.03.17,S,S,M,I,GP
Coupe du Monde par équipes,Yangzhou,26.03.17,S,S,F,T,A
WESTEND Grand Prix,Budapest,24.03.17,S,E,M,I,GP
WESTEND Grand Prix,Budapest,24.03.17,S,E,F,I,GP
Coupe du Monde,Yangzhou,24.03.17,S,S,F,I,A
Tournoi Satellite,Turku,19.03.17,S,S,M,I,SA
Tournoi satellite,Turku,19.03.17,S,S,F,I,SA
Tournoi satellite,Turku,19.03.17,S,E,F,I,SA
Tournoi Satellite,Turku,18.03.17,S,E,M,I,SA
Absolute Fencing Gear Long Beach Foil Grand Prix,Long Beach, California,17.03.17,S,F,F,I,GP
Absolute Fencing Gear Long Beach Foil Grand Prix,Long Beach, California,17.03.17,S,F,M,I,GP
Championnats d'Afrique,Yamoussoukro,11.03.17,J,E,M,T,CHZ
Championnats d'Afrique,Yamoussoukro,11.03.17,J,F,M,T,CHZ
Championnats d'Afrique,Yamoussoukro,11.03.17,J,S,M,T,CHZ
Championnats d'Afrique,Yamoussoukro,11.03.17,J,E,F,T,CHZ
Championnats d'Afrique,Yamoussoukro,11.03.17,J,F,F,T,CHZ
Championnats d'Afrique,Yamoussoukro,11.03.17,J,S,F,T,CHZ
Championnats d'Afrique,Yamoussoukro,10.03.17,J,F,M,I,CHZ
Championnats d'Afrique,Yamoussoukro,10.03.17,J,E,F,I,CHZ
Championnats d'Afrique,Yamoussoukro,10.03.17,J,S,M,I,CHZ
Championnats d'Afrique,Yamoussoukro,09.03.17,J,F,F,I,CHZ
Championnats d'Afrique,Yamoussoukro,09.03.17,J,S,F,I,CHZ
Championnats d’Europe juniors-Team,Plovdiv,09.03.17,J,F,F,T,CHZ
Championnats d’Europe juniors-Team,Plovdiv,09.03.17,J,E,F,T,CHZ
Championnats d'Afrique,Yamoussoukro,09.03.17,J,E,M,I,CHZ
Championnats d’Europe juniors-Team,Plovdiv,09.03.17,J,S,M,T,CHZ
Championnats d’Europe juniors-Team,Plovdiv,08.03.17,J,E,M,T,CHZ
Championnats d'Afrique,Yamoussoukro,08.03.17,C,E,F,I,NF
Championnats d’Europe juniors-Team,Plovdiv,08.03.17,J,S,F,T,CHZ
Championnats d'Afrique,Yamoussoukro,08.03.17,C,F,M,I,NF
Championnats d’Europe juniors-Team,Plovdiv,08.03.17,J,F,M,T,CHZ
Championnats d’Europe juniors,Plovdiv,07.03.17,J,E,F,I,CHZ
Championnats d'Afrique,Yamoussoukro,07.03.17,C,F,F,I,NF
Championnats d'Afrique,Yamoussoukro,07.03.17,C,E,M,I,NF
Championnats d’Europe juniors,Plovdiv,07.03.17,J,S,M,I,CHZ
Championnats d'Afrique,Yamoussoukro,07.03.17,C,S,F,I,NF
Championnats d’Europe juniors,Plovdiv,06.03.17,J,E,M,I,CHZ
Championnats d’Europe juniors,Plovdiv,06.03.17,J,F,F,I,CHZ
Championnats asiatiques juniors-Team,Korat,05.03.17,J,E,M,T,CHZ
Championnats d’Europe juniors,Plovdiv,05.03.17,J,F,M,I,CHZ
Championnats asiatiques juniors-Team,Korat,05.03.17,J,S,F,T,CHZ
Championnats d’Europe juniors,Plovdiv,05.03.17,J,S,F,I,CHZ
Championnats asiatiques juniors-Team,Korat,05.03.17,J,F,F,T,CHZ
Championnats asiatiques juniors-Team,Korat,04.03.17,J,S,M,T,CHZ
Championnats asiatiques juniors-Team,Korat,04.03.17,J,E,F,T,CHZ
Championnats asiatiques juniors-Team,Korat,04.03.17,J,F,M,T,CHZ
Championnats asiatiques juniors,Korat,03.03.17,J,F,F,I,CHZ
Championnats asiatiques juniors,Korat,03.03.17,J,E,M,I,CHZ
Championnats Panaméricains Cadets,La Havane,02.03.17,C,S,M,I,NF
Championnats asiatiques juniors,Korat,02.03.17,J,S,F,I,CHZ
Championnats Panaméricains Cadets,La Havane,02.03.17,C,E,M,I,NF
Championnats Panaméricains Juniors,La Havane,02.03.17,J,S,M,T,CHZ
Championnats Panaméricains Juniors,La Havane,02.03.17,J,E,F,T,CHZ
Championnats Panaméricains Juniors,La Havane,02.03.17,J,F,F,I,CHZ
Championnats Panaméricains Juniors,La Havane,02.03.17,J,S,F,I,CHZ
Championnats Panaméricains Juniors,La Havane,02.03.17,J,E,F,I,CHZ
Championnats asiatiques juniors,Korat,02.03.17,J,S,F,I,CHZ
Championnats Panaméricains Cadets,La Havane,02.03.17,C,E,M,I,NF
Championnats Panaméricains Cadets,La Havane,02.03.17,C,S,M,I,NF
Championnats Panaméricains Juniors,La Havane,02.03.17,J,S,M,T,CHZ
Championnats Panaméricains Juniors,La Havane,02.03.17,J,E,F,T,CHZ
Championnats Panaméricains Juniors,La Havane,02.03.17,J,S,F,I,CHZ
Championnats Panaméricains Juniors,La Havane,02.03.17,J,E,F,I,CHZ
Championnats Panaméricains Juniors,La Havane,02.03.17,J,F,F,I,CHZ
Championnats asiatiques juniors,Korat,02.03.17,J,F,M,I,CHZ
Championnats Panaméricains Cadets,La Havane,02.03.17,C,E,F,I,NF
Championnats Panaméricains Cadets,La Havane,02.03.17,C,S,F,I,NF
Championnats Panaméricains Juniors,La Havane,02.03.17,J,F,M,T,CHZ
Championnats asiatiques juniors,Korat,01.03.17,J,S,M,I,CHZ
Championnats asiatiques juniors,Korat,01.03.17,J,E,F,I,CHZ
Coupe du Monde par équipes,Varsovie,26.02.17,S,S,M,T,A
Sabre de Wolodyjowski,Varsovie,24.02.17,S,S,M,I,A
Mixed Team Event,Udine,19.02.17,J,E,F,T,NF
Coupe du Monde par équipes,Vancouver,19.02.17,S,E,M,T,A
Mixed Team Event,Udine,19.02.17,J,F,M,T,NF
Mixed Team Event,Udine,19.02.17,J,F,F,T,NF
Mixed Team Event,Udine,19.02.17,J,E,M,T,NF
Coupe du Monde équipes,Athènes,19.02.17,S,S,F,T,A
Alpe Adria,Udine,18.02.17,J,E,M,I,A
Coupe du Monde,Udine,18.02.17,J,F,F,I,A
Alpe Adria,Udine,17.02.17,J,F,M,I,A
Alpe Adria,Udine,17.02.17,J,F,M,I,A
Coupe du Monde,Vancouver,17.02.17,S,E,M,I,A
Coupe du Monde,Udine,17.02.17,J,E,F,I,A
Coupe du Monde par équipes Löwe von Bonn,Bonn,12.02.17,S,F,M,T,A
Coupe du Monde par équipes,Dourdan,12.02.17,J,S,M,T,A
Coupe du Monde par équipes,Legnano,12.02.17,S,E,F,T,A
Coupe di Monde par équipes,Segovia,12.02.17,J,S,F,T,A
Coupe du Monde,Segovia,11.02.17,J,S,F,I,A
Coupe du Monde,Dourdan,11.02.17,J,S,M,I,A
Coupe du Monde,Legnano,10.02.17,S,E,F,I,A
Löwe von Bonn,Bonn,10.02.17,S,F,M,I,A
Coupe du monde par équipes,Espoo (Helsinki),05.02.17,J,E,M,T,A
Coupe du Monde par équipes,Espoo (Helsinki),05.02.17,J,E,F,T,A
Coupe du Monde par équipes,Padoue,05.02.17,S,S,M,T,A
Coupe du Monde par équipes,Gdansk,05.02.17,S,F,F,T,A
Tournoi Satellite,Terrassa (Barcelona),04.02.17,S,F,M,I,SA
Coupe du Monde,Espoo (Helsinki),04.02.17,J,E,M,I,A
Tournoi satellite,Cancun,04.02.17,S,S,F,I,SA
Coupe du Monde,Espoo (Helsinki),04.02.17,J,E,F,I,A
Trophée Luxardo,Padoue,03.02.17,S,S,M,I,A
The Artus Court PKO BP,Gdansk,03.02.17,S,F,F,I,A
Coupe du Monde par équipes,Aix-en-Provence,29.01.17,J,F,M,T,A
Coupe du Monde par équipes,New York,29.01.17,S,S,F,T,A
Coupe du Monde par équipes,Mödling,29.01.17,J,F,F,T,A
Heidenheimer Pokal,Heidenheim,28.01.17,S,E,M,T,A
Heidenheimer Pokal,Heidenheim,28.01.17,S,E,M,T,A
Coupe du Monde,Aix-en-Provence,28.01.17,J,F,M,I,A
Сhampionnats de la Méditerranée,Marseille,27.01.17,J,F,M,I,NF
Coupe du Monde,New York,27.01.17,S,S,F,I,A
Сhampionnats de la Méditerranée,Marseille,27.01.17,J,S,M,I,NF
Сhampionnats de la Méditerranée,Marseille,27.01.17,J,S,F,I,NF
Heidenheimer Pokal,Heidenheim,26.01.17,S,E,M,I,A
Coupe du Monde par équipes,Phoenix,22.01.17,J,S,M,T,A
Coupe du Monde par équipes,Barcelone,22.01.17,S,E,F,T,A
Coupe du Monde par équipes,Alger,22.01.17,J,S,F,T,A
Challenge International de Paris,Paris,22.01.17,S,F,M,T,A
Coupe du Monde,Alger,21.01.17,J,S,F,I,A
Coupe du Monde,Phoenix,21.01.17,J,S,M,I,A
Challenge International de Paris,Paris,20.01.17,S,F,M,I,A
