Category, Gender, Weapon, Competition, Place, Date, Type, Event
Ciudad de Barcelona,Barcelone,20.01.17,S,E,F,I,A
Coupe du Monde par équipes,Alger,15.01.17,S,F,F,T,A
Rehbinder Prize,Stockholm,15.01.17,S,E,F,I,SA
SAF-Pokalen,Stockholm,14.01.17,S,E,M,I,SA
Coupe du Monde de fleuret d'Alger by Ooredoo,Alger,13.01.17,S,F,F,I,A
Coupe du Monde par équipes,Tijuana,09.01.17,J,F,M,T,A
Mixed Team Event,Budapest,08.01.17,J,S,M,T,NF
Coupe du Monde,Tijuana,08.01.17,J,F,M,I,A
Coupe du Monde par équipes,Zagreb,08.01.17,J,F,F,T,A
Mixed Team Event,Budapest,08.01.17,J,S,F,T,NF
Coupe du Monde par équipes,Dijon,08.01.17,J,E,F,T,A
Coupe du Monde,Zagreb,07.01.17,J,F,F,I,A
Coupe du Monde,Budapest,07.01.17,J,S,M,I,A
Tournoi de la ville de Dijon,Dijon,07.01.17,J,E,F,I,A
Coupe du Monde,Budapest,07.01.17,J,S,F,I,A
Coupe du Monde par équipes,Burgos,18.12.16,J,E,F,T,A
Coupe du Monde par équipes,Lyon,18.12.16,J,F,F,T,A
Leon Paul CuoTournoi satellite,Londres,18.12.16,S,F,M,I,SA
Coupe du Monde par équipes,Bâle,18.12.16,J,E,M,T,A
Coupe du Monde,Lyon,17.12.16,J,F,F,I,A
Ciudad de Burgos,Burgos,17.12.16,J,E,F,I,A
Tournoi Satellite,Taipei,17.12.16,S,E,M,I,SA
Trophée Maître Roger Nigon,Bâle,17.12.16,J,E,M,I,A
Tournoi Satellite,Taipei,17.12.16,S,E,F,I,SA
Coupe du Monde par équipes,Londres,17.12.16,J,F,M,T,A
Eden Cup,Londres,16.12.16,J,F,M,I,A
Sabre Grand Prix,Cancun,16.12.16,S,S,F,I,GP
Sabre Grand Prix,Cancun,16.12.16,S,S,M,I,GP
Tournoi satellite,Antalya,11.12.16,S,F,F,I,SA
Mixed Team Event,Dormagen,11.12.16,J,S,F,T,NF
Mixed Team Event,Dormagen,11.12.16,J,S,M,T,NF
Preis der Chemiestadt,Dormagen,10.12.16,J,S,F,I,A
Satellite fleuret masculin,Antalya,10.12.16,S,F,M,I,SA
Preis der Chemiestadt,Dormagen,10.12.16,J,S,M,I,A
Grand Prix du Qatar,Doha,09.12.16,S,E,M,I,GP
Grand Prix du Qatar,Doha,09.12.16,S,E,F,I,GP
Mixed Team Event,Bratislava,04.12.16,J,E,F,T,NF
Coupe du Monde par équipes,Györ,04.12.16,S,S,M,T,A
Mixed Team Event,Bratislava,04.12.16,J,E,M,T,NF
Mémorial de Martinengo,Bratislava,03.12.16,J,E,M,I,A
Grand Prix,Turin,02.12.16,S,F,M,I,GP
Coupe du Monde,Bratislava,02.12.16,J,E,F,I,A
Grand Prix,Turin,02.12.16,S,F,F,I,GP
Coupe du Monde,Györ,02.12.16,S,S,M,I,A
Coupe du Monde par équipes,Buenos Aires,20.11.16,S,E,M,T,A
Coupe du monde par équipes,Orléans,20.11.16,S,S,F,T,A
Mixed Team Event,Guatemala City,20.11.16,J,F,F,T,NF
Mixed Team Event,Guatemala City,20.11.16,J,F,M,T,NF
Coupe du Monde,Guatemala City,19.11.16,J,F,F,I,A
Coupe du Monde,Guatemala City,19.11.16,J,F,M,I,A
Trophée BNP Paribas,Orléans,18.11.16,S,S,F,I,A
Coupe du Monde,Buenos Aires,18.11.16,S,E,M,I,A
Coupe du Monde par équipes,Sochi,13.11.16,J,S,M,T,A
Coupe du Monde par équipes,Tokyo,13.11.16,S,F,M,T,A
Coupe du Monde par équipes,Sochi,13.11.16,J,S,F,T,A
Coupe du Monde par équipes,Suzhou,13.11.16,S,E,F,T,A
Tournoi satellite ,Dublin,12.11.16,S,E,M,I,SA
Coupe du Monde,Sochi,12.11.16,J,S,M,I,A
Women's Sabre Junior World Cup,Sochi,11.11.16,J,S,F,I,A
Coupe du Monde,Suzhou,11.11.16,S,E,F,I,A
Prince Takamodo WC,Tokyo,11.11.16,S,F,M,I,A
Mixed Team Event,San Salvador,06.11.16,J,E,M,T,NF
Mixed team event,San Salvador,06.11.16,J,E,F,T,NF
Coupe du Monde par équipes,Dakar,06.11.16,S,S,M,T,A
Coupe du Monde par équipes,St-Maur,06.11.16,S,F,F,T,A
Copa del Mundo,San Salvador,05.11.16,J,E,M,I,A
Coupe du Monde ,Dakar,04.11.16,S,S,M,I,A
Coupe du Monde,St-Maur,04.11.16,S,F,F,I,A
Coupe du Monde,San Salvador,04.11.16,J,E,F,I,A
Coupe du Monde par équipes,Berne,30.10.16,S,E,M,T,A
Camden London Tournoi satellite sabre masculin,Londres,30.10.16,S,S,M,I,SA
Coupe du Monde par équipes,Leszno,30.10.16,J,F,M,T,A
Coupe du Monde,Leszno,29.10.16,J,F,M,I,A
Coupe du Monde par équipes,Bochum,29.10.16,J,F,F,T,A
Coupe du Monde,Berne,28.10.16,S,E,M,I,A
Tournoi international,Bochum,28.10.16,J,F,F,I,A
Coupe du Monde par équipes,Le Caire,23.10.16,S,F,M,T,A
Mixed Team Event,Sosnowiec,23.10.16,J,S,M,T,NF
Coupe du Monde par équipes,Tallin,23.10.16,S,E,F,T,A
Mixed Team Event,Sosnowiec,23.10.16,J,S,F,T,NF
Coupe du Monde,Sosnowiec,22.10.16,J,S,M,I,A
Coupe du Monde,Tallin,21.10.16,S,E,F,I,A
Coupe du Monde,Le Caire,21.10.16,S,F,M,I,A
Coupe du Monde,Sosnowiec,21.10.16,J,S,F,I,A
Tournoi satellite,Gand,16.10.16,S,S,F,I,SA
Coupe du Monde par équipes,Laupheim,16.10.16,J,E,F,T,A
Coupe du Monde par équipes,Cancun,16.10.16,S,F,F,T,A
Coupe du Monde par équipes,Riga,16.10.16,J,E,M,T,A
Tournoi satellite,Gand,16.10.16,S,S,F,I,SA
Uhlmann-Cup,Laupheim,15.10.16,J,E,F,I,A
Belgrade Trophy,Belgrade,15.10.16,S,E,M,I,SA
Tournoi satellite épée féminine,Belgrade,15.10.16,S,E,F,I,SA
Coupe du Monde,Riga,15.10.16,J,E,M,I,A
Tournoi satellite,Cancun,15.10.16,S,F,M,I,SA
Coupe du Monde,Cancun,14.10.16,S,F,F,I,A
Tournoi satellite,Cancun,12.10.16,S,F,F,I,SA
Tournoi Satellite,Oslo,09.10.16,S,E,F,I,SA
Coupe du Monde par équipes,Bangkok,09.10.16,J,F,M,T,A
Coupe du Monde par équipes,Timisoara,09.10.16,J,F,F,T,A
Tournoi Satellite,Oslo,08.10.16,S,E,M,I,SA
Coupe du Monde par équipes,Manama,08.10.16,J,E,M,T,A
Coupe du Monde,Timisoara,08.10.16,J,F,F,I,A
Coupe du Monde,Bangkok,08.10.16,J,F,M,I,A
Coupe du Monde,Manama,07.10.16,J,E,M,I,A
Coupe du monde par equipes,Plovdiv,02.10.16,J,S,F,T,A
Coupe du Monde par équipes,Plovdiv,02.10.16,J,S,M,T,A
Tournoi Satellite,Genève,02.10.16,S,E,F,I,SA
Coupe du Monde,Plovdiv,01.10.16,J,S,F,I,A
Coupe du Monde,Plovdiv,01.10.16,J,S,M,I,A
Tournoi Satellite,Genève,01.10.16,S,E,M,I,SA
Coupe du Monde par équipes,Maalot,25.09.16,J,E,F,T,A
Tournoi satellite sabre masculin,Amsterdam,25.09.16,S,S,M,I,SA
Tournoi satellite,Amsterdam,25.09.16,S,F,F,I,SA
Coupe du Monde,Maalot,24.09.16,J,E,F,I,A
Tournoi satellite fleuret masculin,Amsterdam,24.09.16,S,F,M,I,SA
Mixed team event,Budapest,18.09.16,J,F,F,T,NF
Mixed Team Event,Budapest,18.09.16,J,F,M,T,NF
Coupe du Monde par équipes,Teheran,18.09.16,J,S,M,T,A
Coupe du Monde par équipes,San-Jose,18.09.16,J,S,F,T,A
Coupe du Monde,Budapest,17.09.16,J,F,F,I,A
Coupe du Monde,San-Jose,17.09.16,J,S,F,I,A
Coupe Heracles Junior,Budapest,17.09.16,J,F,M,I,A
Coup du Monde,Teheran,17.09.16,J,S,M,I,A
Coupe du Monde par équipes,Luxembourg,11.09.16,J,E,M,T,A
Coupe du Monde,Luxembourg,10.09.16,J,E,M,I,A
Championnats du monde vétérans par equipes,Stralsund,16.10.16,V,E,M,T,CHM
Championnats du monde vétérans par equipes,Stralsund,15.10.16,V,F,F,T,CHM
Championnats du monde vétérans 60-69,Stralsund,15.10.16,V,S,F,I,CHM
Championnats du monde vétérans 50-59,Stralsund,15.10.16,V,E,M,I,CHM
Championnats du monde vétérans 50-59,Stralsund,15.10.16,V,S,F,I,CHM
Championnats du monde vétérans 70+,Stralsund,15.10.16,V,S,F,I,CHM
Championnats du monde vétérans 60-69,Stralsund,14.10.16,V,F,F,I,CHM
Championnats du monde vétérans 60-69,Stralsund,14.10.16,V,E,M,I,CHM
Championnats du monde vétérans par equipes,Stralsund,14.10.16,V,S,M,T,CHM
Championnats du monde vétérans 70+,Stralsund,14.10.16,V,F,F,I,CHM
Championnats du monde vétérans 70+,Stralsund,14.10.16,V,E,M,I,CHM
Championnats du monde vétérans 50-59,Stralsund,13.10.16,V,S,M,I,CHM
Championnats du monde vétérans par equipes,Stralsund,13.10.16,V,F,M,T,CHM
Championnats du monde vétérans 50-59,Stralsund,13.10.16,V,F,F,I,CHM
Championnats du monde vétérans par equipes,Stralsund,13.10.16,V,E,F,T,CHM
Championnats du monde vétérans 60-69,Stralsund,13.10.16,V,S,M,I,CHM
Championnats du monde vétérans 70+,Stralsund,12.10.16,V,E,F,I,CHM
Championnats du monde vétérans 70+,Stralsund,12.10.16,V,S,M,I,CHM
Championnats du monde vétérans 60-69,Stralsund,12.10.16,V,E,F,I,CHM
Championnats du monde vétérans 50-59,Stralsund,12.10.16,V,F,M,I,CHM
Championnats du monde vétérans 70+,Stralsund,11.10.16,V,F,M,I,CHM
Championnats du monde vétérans 50-59,Stralsund,11.10.16,V,E,F,I,CHM
Championnats du monde vétérans 60-69,Stralsund,11.10.16,V,F,M,I,CHM
Jeux Olympiques,Rio de Janeiro,14.08.16,S,E,M,T,JO
Jeux Olympiques,Rio de Janeiro,13.08.16,S,S,F,T,JO
Jeux Olympiques,Rio de Janeiro,12.08.16,S,F,M,T,JO
Jeux Olympiques,Rio de Janeiro,11.08.16,S,E,F,T,JO
Jeux Olympiques,Rio de Janeiro,10.08.16,S,S,M,I,JO
Jeux Olympiques,Rio de Janeiro,10.08.16,S,F,F,I,JO
Jeux Olympiques,Rio de Janeiro,09.08.16,S,E,M,I,JO
Jeux Olympiques,Rio de Janeiro,08.08.16,S,S,F,I,JO
Jeux Olympiques,Rio de Janeiro,07.08.16,S,F,M,I,JO
Jeux Olympiques,Rio de Janeiro,06.08.16,S,E,F,I,JO
Championnats Panaméricains,Panama,26.06.16,S,S,M,T,CHZ
Championnats Panaméricains,Panama,26.06.16,S,F,F,T,CHZ
Championnats Panaméricains,Panama,25.06.16,S,S,F,T,CHZ
Championnats d'Europe,TORUN,25.06.16,S,S,M,T,CHZ
Championnats d'Europe,TORUN,25.06.16,S,E,F,T,CHZ
Championnats Panaméricains,Panama,25.06.16,S,E,M,T,CHZ
Championnats Panaméricains,Panama,24.06.16,S,F,M,T,CHZ
Championnats d'Europe,TORUN,24.06.16,S,F,F,T,CHZ
Championnats d'Europe,TORUN,24.06.16,S,E,M,T,CHZ
Championnats Panaméricains,Panama,24.06.16,S,E,F,T,CHZ
Championnats d'Europe,TORUN,23.06.16,S,F,M,T,CHZ
Championnats Panaméricains,Panama,23.06.16,S,F,F,I,CHZ
Championnats Panaméricains,Panama,23.06.16,S,S,M,I,CHZ
Championnats d'Europe,TORUN,23.06.16,S,S,F,T,CHZ
Championnats d'Europe,TORUN,22.06.16,S,S,M,I,CHZ
Championnats d'Europe,TORUN,22.06.16,S,E,F,I,CHZ
Championnats Panaméricains,Panama,22.06.16,S,E,M,I,CHZ
Championnats Panaméricains,Panama,22.06.16,S,S,F,I,CHZ
Championnats d'Europe,TORUN,21.06.16,S,E,M,I,CHZ
Championnats Panaméricains,Panama,21.06.16,S,E,F,I,CHZ
Championnats Panaméricains,Panama,21.06.16,S,F,M,I,CHZ
Championnats d'Europe,TORUN,21.06.16,S,F,F,I,CHZ
Championnats d'Europe,TORUN,20.06.16,S,S,F,I,CHZ
Championnats d'Europe,TORUN,20.06.16,S,F,M,I,CHZ
Grand Prix,Shanghai,03.06.16,S,F,M,I,GP
Grand Prix,Shanghai,03.06.16,S,F,F,I,GP
Grand Prix,Moscow,28.05.16,S,S,F,I,GP
Sabre de Moscou,Moscow,27.05.16,S,S,M,I,GP
Challenge SNCF Réseau,Paris,22.05.16,S,E,M,T,A
Coupe du Monde par équipes,Tauberbischofsheim,22.05.16,S,F,F,T,A
Tournoi satellite sabre masculin,Reykjavik,22.05.16,S,S,M,I,SA
Coupe du monde par équipes,Legnano,22.05.16,S,E,F,T,A
Tournoi satellite sabre féminin,Reykjavik,21.05.16,S,S,F,I,SA
Reinhold-Würth-Cup,Tauberbischofsheim,20.05.16,S,F,F,I,A
Coupe du Monde,Legnano,20.05.16,S,E,F,I,A
Challenge SNCF Réseau,Paris,20.05.16,S,E,M,I,A
Coupe du Monde par équipe,St-Petersbourg,15.05.16,S,F,M,T,A
Coupe du Monde par équipes,Foshan,15.05.16,S,S,F,T,A
Coupe du Monde par équipes,Madrid,15.05.16,S,S,M,T,A
St Duje Cup,Split,14.05.16,S,E,M,I,SA
St Duje' s Cup,Split,14.05.16,S,E,F,I,SA
Fleuret de St-Petersbourg,St-Petersbourg,13.05.16,S,F,M,I,A
Villa de Madrid,Madrid,13.05.16,S,S,M,I,A
Coupe du Monde,Foshan,13.05.16,S,S,F,I,A
Cole Cup,Londres,08.05.16,S,E,F,I,SA
Trekanten International,Copenhague,08.05.16,S,F,F,I,SA
Tournoi satellite,Londres,07.05.16,S,S,F,I,SA
Cole Cup,Londres,07.05.16,S,S,M,I,SA
Trekanten International,Copenhague,07.05.16,S,F,M,I,SA
Championnats du Monde - test event,Rio de Janeiro,25.04.16,S,F,F,T,CHM
Championnats du Monde - test event,Rio de Janeiro,25.04.16,S,S,M,T,CHM
Grand Prix - test event,Rio de Janeiro,22.04.16,S,E,M,I,GP
Grand Prix - test event,Rio de Janeiro,22.04.16,S,E,F,I,GP
Championnats de qualification européens,Prague,17.04.16,S,F,M,I,OF
Championnats de qualification panaméricains,San-Jose,17.04.16,S,E,F,I,OF
Championnats de qualification européens,Prague,17.04.16,S,E,F,I,OF
Championnats de qualifications panaméricains,San-Jose,17.04.16,S,F,M,I,OF
Championnats de qualification européens,Prague,17.04.16,S,S,F,I,OF
Championnats de qualifications panaméricains,San-Jose,16.04.16,S,E,M,I,OF
Championnats de qualification européens,Prague,16.04.16,S,F,F,I,OF
Championnats de qualification européens,Prague,16.04.16,S,E,M,I,OF
Championnats de qualification panaméricains,San-Jose,16.04.16,S,S,F,I,OF
Championnats de qualification européens,Prague,16.04.16,S,S,M,I,OF
Championnats d'Afrique,Alger,15.04.16,S,E,F,I,CHZ
Championnats d'Afrique,Alger,15.04.16,S,F,M,T,CHZ
Championnats d'Afrique,Alger,15.04.16,S,S,M,I,CHZ
Championnats d'Afrique,Alger,15.04.16,S,E,F,T,CHZ
Championnats d'Afrique,Alger,15.04.16,S,E,M,T,CHZ
Championnats d'Afrique,Alger,15.04.16,S,F,F,T,CHZ
Championnats d'Afrique,Alger,15.04.16,S,S,F,T,CHZ
Championnats d'Afrique,Alger,15.04.16,S,S,M,T,CHZ
Championnats d'Afrique,Alger,15.04.16,S,S,F,I,CHZ
Championnats de qualification panaméricains,San-Jose,15.04.16,S,S,M,I,OF
Championnats d'Afrique,Alger,15.04.16,S,F,M,I,CHZ
Championnats d'Afrique,Alger,15.04.16,S,F,F,I,CHZ
Championnats d'Afrique,Alger,15.04.16,S,E,M,I,CHZ
Championnats de qualifications panaméricains,San-Jose,15.04.16,S,F,F,I,OF
Championnats de qualification- Afrique,Alger,14.04.16,S,S,M,I,OF
Championnats de qualification - Afrique,Alger,14.04.16,S,S,F,I,OF
Championnats de qualification - Afrique,Alger,14.04.16,S,F,M,I,OF
Championnats de qualification - Afrique,Alger,14.04.16,S,F,F,I,OF
Championnats de qualification - Afrique,Alger,14.04.16,S,E,M,I,OF
Championnats de qualification - Afrique,Alger,14.04.16,S,E,F,I,OF
Championnats asiatiques,Wuxi,13.04.16,S,E,F,T,CHZ
Championnats asiatiques,Wuxi,13.04.16,S,S,F,I,CHZ
Championnats asiatiques,Wuxi,13.04.16,S,S,M,I,CHZ
Championnats asiatiques,Wuxi,13.04.16,S,E,M,T,CHZ
Championnats asiatiques,Wuxi,13.04.16,S,F,F,T,CHZ
Championnats asiatiques,Wuxi,13.04.16,S,F,M,I,CHZ
Championnats asiatiques,Wuxi,13.04.16,S,S,F,T,CHZ
Championnats asiatiques,Wuxi,13.04.16,S,S,M,T,CHZ
Championnats asiatiques,Wuxi,13.04.16,S,E,F,I,CHZ
Championnats asiatiques,Wuxi,13.04.16,S,F,M,T,CHZ
Championnats asiatiques,Wuxi,13.04.16,S,E,M,I,CHZ
Championnats asiatiques,Wuxi,13.04.16,S,F,F,I,CHZ
Championnats de qualification Asie-Océanie,Wuxi,12.04.16,S,S,F,I,OF
Championnats de qualification Asie-Océanie,Wuxi,12.04.16,S,F,M,I,OF
Championnats de qualification Asie-Océanie,Wuxi,12.04.16,S,E,M,I,OF
Championnats de qualification Asie-Océanie,Wuxi,11.04.16,S,S,M,I,OF
Championnats de qualification Asie-Océanie,Wuxi,11.04.16,S,F,F,I,OF
Championnats de qualification Asie-Océanie,Wuxi,11.04.16,S,E,F,I,OF
Championnats du monde juniors-cadets,Bourges,10.04.16,J,F,M,T,CHM
Championnats du monde juniors-cadets,Bourges,10.04.16,J,E,F,T,CHM
Championnats du monde juniors-cadets,Bourges,09.04.16,J,S,F,T,CHM
Championnats du monde juniors-cadets,Bourges,09.04.16,J,E,M,T,CHM
Championnats du monde juniors-cadets,Bourges,08.04.16,J,F,F,T,CHM
Championnats du monde juniors-cadets,Bourges,08.04.16,J,S,M,T,CHM
Championnats du monde juniors-cadets,Bourges,07.04.16,J,F,M,I,CHM
Championnats du monde juniors-cadets,Bourges,07.04.16,J,E,F,I,CHM
Championnats du monde juniors-cadets,Bourges,06.04.16,J,S,F,I,CHM
Championnats du monde juniors-cadets,Bourges,06.04.16,J,E,M,I,CHM
Championnats du monde juniors-cadets,Bourges,05.04.16,J,F,F,I,CHM
Championnats du monde juniors-cadets,Bourges,05.04.16,J,S,M,I,CHM
Championnats du monde juniors-cadets,Bourges,03.04.16,C,F,M,I,CHM
Championnats du monde juniors-cadets,Bourges,03.04.16,C,E,F,I,CHM
Championnats du monde juniors-cadets,Bourges,02.04.16,C,S,F,I,CHM
Championnats du monde juniors-cadets,Bourges,02.04.16,C,E,M,I,CHM
Championnats du monde juniors-cadets,Bourges,01.04.16,C,S,M,I,CHM
Championnats du monde juniors-cadets,Bourges,01.04.16,C,F,F,I,CHM
Grand Prix,Seoul,25.03.16,S,S,F,I,GP
Grand Prix,Seoul,25.03.16,S,S,M,I,GP
Tournoi satellite,Rome,19.03.16,S,S,F,I,SA
WESTEND Grand Prix,Budapest,18.03.16,S,E,M,I,GP
WESTEND Grand Prix,Budapest,18.03.16,S,E,F,I,GP
Tournoi satellite,Sofia,12.03.16,S,E,F,I,SA
Normann Jørgensen Cup,Copenhague,12.03.16,S,S,M,I,SA
Tournoi satellite,Sofia,12.03.16,S,E,M,I,SA
Grand Prix,La Havane,11.03.16,S,F,F,I,GP
Grand Prix,La Havane,11.03.16,S,F,F,I,GP
Championnats d'Afrique,Bamako,06.03.16,J,E,M,T,CHZ
Championnats d'Afrique,Bamako,06.03.16,J,F,M,T,CHZ
Championnats d'Afrique,Bamako,06.03.16,J,S,M,T,CHZ
Championnats d'Afrique,Bamako,06.03.16,J,E,F,T,CHZ
Championnats d'Afrique,Bamako,06.03.16,J,F,F,T,CHZ
Championnats d'Afrique,Bamako,06.03.16,J,S,F,T,CHZ
Championnats d'Afrique,Bamako,05.03.16,J,F,M,I,CHZ
Championnats d'Afrique,Bamako,05.03.16,J,E,F,I,CHZ
Tournoi satellite,Cancun,05.03.16,S,F,M,I,SA
Championnats d'Afrique,Bamako,05.03.16,J,S,M,I,CHZ
Championnats d'Afrique,Bamako,04.03.16,J,F,F,I,CHZ
Championnats d'Afrique,Bamako,04.03.16,J,S,F,I,CHZ
Championnats d'Afrique,Bamako,04.03.16,J,E,M,I,CHZ
Championnats d'Afrique,Bamako,03.03.16,C,S,M,I,NF
Championnats d'Afrique,Bamako,03.03.16,C,E,F,I,NF
Championnats d'Afrique,Bamako,03.03.16,C,F,M,I,NF
Championnats d'Afrique,Bamako,02.03.16,C,E,M,I,NF
Championnats d'Afrique,Bamako,02.03.16,C,S,F,I,NF
Championnats d'Afrique,Bamako,02.03.16,C,F,F,I,NF
Championnats d’Europe juniors,Novi Sad,29.02.16,J,F,M,I,CHZ
Championnats d’Europe juniors-Team,Novi Sad,29.02.16,J,F,M,T,CHZ
Championnats d’Europe juniors,Novi Sad,29.02.16,J,S,F,I,CHZ
Championnats d'Europe Cadets *,Novi Sad,29.02.16,C,S,M,I,NF
Championnats d’Europe juniors,Novi Sad,29.02.16,J,S,M,I,CHZ
Championnats d’Europe juniors,Novi Sad,29.02.16,J,S,M,I,CHZ
Championnats d'Europe Cadets *,Novi Sad,29.02.16,C,S,F,I,NF
Championnats d’Europe juniors-Team,Novi Sad,29.02.16,J,E,M,T,CHZ
Championnats asiatiques juniors-Team,Manama,29.02.16,J,S,F,T,CHZ
Championnats d'Europe Cadets *,Novi Sad,29.02.16,C,F,M,I,NF
Championnats d'Europe Cadets *,Novi Sad,29.02.16,C,F,F,I,NF
Championnats d’Europe juniors-Team,Novi Sad,29.02.16,J,S,F,T,CHZ
Championnats d’Europe juniors,Novi Sad,29.02.16,J,E,F,I,CHZ
Championnats asiatiques juniors-Team,Manama,29.02.16,J,F,M,T,CHZ
Championnats d'Europe Cadets *,Novi Sad,29.02.16,C,E,M,I,NF
Championnats d’Europe juniors-Team,Novi Sad,29.02.16,J,F,F,T,CHZ
Championnats d’Europe juniors,Novi Sad,29.02.16,J,E,M,I,CHZ
Championnats asiatiques juniors,Manama,29.02.16,J,S,F,I,CHZ
Championnats d'Europe Cadets *,Novi Sad,29.02.16,C,E,F,I,NF
Championnats d’Europe juniors-Team,Novi Sad,29.02.16,J,E,F,T,CHZ
Championnats d’Europe juniors,Novi Sad,29.02.16,J,F,F,I,CHZ
Championnats asiatiques juniors-Team,Manama,29.02.16,J,F,F,T,CHZ
Championnats d’Europe juniors-Team,Novi Sad,29.02.16,J,S,M,T,CHZ
Championnats asiatiques juniors,Manama,28.02.16,J,F,F,I,CHZ
Championnats Panaméricains Juniors,Cancun,27.02.16,J,F,M,T,CHZ
Championnats Panaméricains Juniors,Cancun,27.02.16,J,S,F,T,CHZ
Championnats Panaméricains Cadets,Cancun,27.02.16,C,F,M,I,NF
Championnats asiatiques juniors,Manama,27.02.16,J,E,F,I,CHZ
Championnats asiatiques juniors,Manama,27.02.16,J,F,M,I,CHZ
Championnats Panaméricains Juniors,Cancun,27.02.16,J,E,M,I,CHZ
Championnats Panaméricains Juniors,Cancun,27.02.16,J,F,M,T,CHZ
Championnats Panaméricains Juniors,Cancun,27.02.16,J,S,F,T,CHZ
Championnats asiatiques juniors,Manama,27.02.16,J,F,M,I,CHZ
Championnats Panaméricains Cadets,Cancun,27.02.16,C,F,M,I,NF
Championnats asiatiques juniors,Manama,27.02.16,J,E,F,I,CHZ
Championnats Panaméricains Juniors,Cancun,27.02.16,J,E,M,I,CHZ
Championnats Panaméricains Juniors,Cancun,27.02.16,J,F,M,I,CHZ
Championnats Panaméricains Juniors,Cancun,27.02.16,J,S,M,I,CHZ
Championnats Panaméricains Juniors,Cancun,27.02.16,J,F,F,T,CHZ
Championnats Panaméricains Cadets,Cancun,27.02.16,C,F,F,I,NF
Championnats Panaméricains Juniors,Cancun,27.02.16,J,E,M,T,CHZ
Championnats Panaméricains Cadets,Cancun,27.02.16,C,E,M,I,NF
Championnats Panaméricains Cadets,Cancun,27.02.16,C,S,M,I,NF
Championnats Panaméricains Juniors,Cancun,27.02.16,J,S,M,T,CHZ
Championnats asiatiques juniors-Team,Dammam,23.02.16,J,S,M,T,CHZ
Championnats asiatiques juniors-Team,Dammam,23.02.16,J,E,M,T,CHZ
Championnats asiatiques juniors,Dammam,22.02.16,J,S,M,I,CHZ
Championnats asiatiques juniors,Dammam,22.02.16,J,E,M,I,CHZ
Coupe du Monde par équipes,Varsovie,21.02.16,S,S,M,T,A
Coupe du Monde par équipes,Sint-Niklaas ,21.02.16,S,S,F,T,A
Sabre de Wolodyjowski,Varsovie,19.02.16,S,S,M,I,A
Coupe du Monde,Sint-Niklaas ,19.02.16,S,S,F,I,A
Coupe du Monde par équipes,Buenos Aires,14.02.16,S,E,F,T,A
Coupe du Monde par équipes,Udine,14.02.16,J,E,F,T,A
Coupe du Monde par équipes,Vancouver,14.02.16,S,E,M,T,A
Alpe Adria,Udine,14.02.16,J,F,M,I,A
Coupe du Monde par équipes,Buenos Aires,14.02.16,S,E,F,T,A
Coupe du Monde par équipes,Udine,14.02.16,J,E,F,T,A
Coupe du Monde par équipes,Udine,13.02.16,J,E,M,T,A
